文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk7,text,The nickel contents of Inconel-600 $( 7 6 \mathrm { \ : w t } \% )$ and Inconel X-750 $7 0 \mathrm { \ w t \% }$ minimum) are similar,Inconel-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,wt%,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk8,text,"specimen characteristics (geometry and surface conditions) as well as environmental factors (hydrogen pressure, test temperature, and test time) affect the amount of hydrogen pickup in Zircaloy",Zircaloy,,test,out-of-pile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk8,text,"The significant factors affecting internal hydriding in defected Zircaloy rods are defect size, sources of hydrogen, Zircaloy cladding inside surface properties, aggressive fission product attack on inner oxide film, nickel alloy contamination of Zircaloy, and the effects of heat flux and fluence",Zircaloy,defected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk9,abstract,Out-of-reactor corrosion tests in 10.3-MPa steam at temperatures between 490 and 530°C have been carried out on Zircaloy-2 tube specimens,Zircaloy-2,tube,,corrosion test,,,,,,,,,,,,,,,,,,490.0,steam,10.3,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk9,abstract,Out-of-reactor corrosion tests in 10.3-MPa steam at temperatures between 490 and 530°C have been carried out on Zircaloy-2 tube specimens,Zircaloy-2,tube,,corrosion test,,,,,,,,,,,,,,,,,,530.0,steam,10.3,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk10,text,The number density and size of nodules increased when tested at higher temperatures.,Zircaloy,,,corrosion test,,,,,,,,,,,,,,,,,,higher,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk10,text,"Extending the test duration increased the nodule size, but not the number density.",Zircaloy,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,extended,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk10,text,The archive tube lots showed different degrees of nodular corrosion in the out-of-reactor test,Zircaloy,archive tube lots,,out-of-reactor corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_020_chunk10,text,A higher number density of precipitates tended to reduce the nodular corrosion susceptibility.,Zircaloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk1,abstract,delayed hydrogen cracking behavior of cold-worked $\mathbf { Z } \mathbf { r } { - } 2 . 5 \mathbf { N } \mathbf { b }$,Zr-2.5Nb,cold-worked,,delayed hydrogen cracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk1,abstract,da/dt = 6.86 × 10^{-1} exp(-71500/RT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71500,J/mol,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk1,text,cracking behavior above about 425 K was markedly dependent upon the direction of approach to temperature,,,,delayed hydrogen cracking,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk1,text,Cracking at 525 K would only occur if the temperature was raised to 555 K and then lowered to 523 K,,,,delayed hydrogen cracking,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk2,text,"All crack growth determinations were done at a $K _ { 1 }$ value of approximately $1 7 . 5 \mathrm { \ : M P a \cdot m ^ { 1 / 2 } }$ .The actual $K _ { \mathrm { I } }$ values, determined at the end of each test run, were found to be in the range 16.5 to $1 8 . 5 \mathrm { \ M P a \cdot m ^ { 1 / 2 } }$ .",,,,crack growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5–18.5,MPa·m^(1/2),,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk2,text,"All specimens were first heated to $\$ 73\ 8$ , held for $^ { 1 \mathrm { h } }$ , and cooled to $\$ 23\ 8$ .",,,heat treatment,,,,,,,,,,,,,,,,,,,738,,,,,,1.0,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk2,text,"All specimens were first heated to $\$ 73\ 8$ , held for $^ { 1 \mathrm { h } }$ , and cooled to $\$ 23\ 8$ .",,,cooling,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk2,text,"Two specimens containing 54- and 108-ppm hydrogen were removed from the test apparatus, heated to $\bf { 6 7 3 ~ K }$ for $^ { 1 \mathrm { ~ h ~ } }$ and then quenched into an icewater mixture.",,quenched,heat treatment; quenching,,,,,,,,,,,,,,,,"{'value': 54, 'unit': 'ppm'}",,,673,ice-water mixture,,,,,1.0,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Fig. 7,FIG. 7—Hydride orientation and alpha zirconium texture relative to the crack and stress axes in a cantilever beam test specimen.,,cantilever beam,,cantilever beam test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,text,Crack tip hydride C: $\overline { { w } } _ { t } ^ { \mathrm { i n c } } = 4 9 1 2 ~ \mathrm { J } \cdot \mathrm { m o l } ^ { - 1 }$,,crack tip hydride C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4912,J/mol,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,text,Source hydride A: $\overline { { w } } _ { t } ^ { \mathrm { i n c } } = 7 7 3 7 \ \mathrm { J } \cdot \mathrm { m o l } ^ { - 1 }$,,source hydride A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7737,J/mol,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,text,Source hydride B: $\overline { { w } } _ { t } ^ { \mathrm { i n c } } = 4 9 1 2 ~ \mathrm { J } \cdot \mathrm { m o l } ^ { - 1 }$,,source hydride B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4912,J/mol,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,x 1.00 (γ-hydride),,γ-hydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57e-05,m³/mol,,,,,,,,,,,,,1.0,atoms/atoms,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,Vhydride 16.3 × 10⁻⁶ (δ-hydride) m³·mol⁻¹,,δ-hydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63e-05,m³/mol,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,σ 400 3oy MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,MPa,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,σ 400 at L 1.80y at ρ MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,MPa,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,e¯{ || (0001) 0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,e{2}(11000.0458 8 hydride 0.0564 γ-hydride,,δ-hydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0458,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,e{2}(11000.0458 8 hydride 0.0564 γ-hydride,,γ-hydride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0564,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,33 (1120) 0.0458 0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0055,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk3,Table 2,σ 1088 - 1.02T MPa,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk4,text,"Specimens heated to the test temperatures showed almost the same crack growth rate-temperature relationship as the cooled specimens, up to a certain temperature, Tdat, above which the crack growth rate decreased with further increase in temperature",,heated specimens,heated to test temperatures,crack growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk5,4,Tdat for the ice-water-quenched specimens was much higher than for the furnace-cooled specimens containing approximately the same amount of hydrogen,,ice-water-quenched,quenching,delayed hydrogen cracking test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk5,4,Tdat for the ice-water-quenched specimens was much higher than for the furnace-cooled specimens containing approximately the same amount of hydrogen,,furnace-cooled,furnace cooling,delayed hydrogen cracking test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk5,5,approximately 35-ppm hydrogen would be precipitated as hydride during cooling from 238,,cooled to room temperature,cooling from 238,,,,,,,,,,,,,,,,"{'value': 35, 'unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,ppm
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk5,5,"All the hydrogen, in the specimen containing 42-ppm hydrogen, would be precipitated during cooling from 738",,,cooling from 738,,,,,,,,,,,,,,,,"{'value': 42, 'unit': 'ppm'}",,,,,,,,,,,,,,,,,2.4,σy,,,,,,,,,42.0,ppm
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk5,5,37% constraint is required to give crack growth up to 623 K,,,,crack growth test,,,,,,,,,,,,,,,,,,623,,,,,,,,,,,,,,,,,,,,,,,,37.0,%
STP824-EB-Zirconium in the Nuclear Industry_6th Volume_045_chunk7,page,Engineeringly smooth surfaces do contain small surface defects and thus stress gradients,,engineeringly smooth surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_002_chunk1,Introduction,"During the early years of atomic power development there was a reliance on conventional materials, for example, stainless steels, for core structural components.",stainless steels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk1,abstract,Zircaloy-2 and Zircaloy-4 show significant differences in response to heat treatment in the high alpha phase region; only Zircaloy-2 shows improvement in nodular corrosion resistance.,Zircaloy-2,,heat treatment in high alpha phase region,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk1,abstract,"Both alloys, however, become highly resistant to nodular corrosion after receiving heat treatment in the alpha-beta or beta phase fields at temperatures above 830°C","Zircaloy-2, Zircaloy-4",,heat treatment in alpha-beta or beta phase fields,corrosion test,,,,,,,,,,,,,,,,,,830.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk1,text,direct fast neutron irradiation of Zircaloy is also needed to cause nodular corrosion at temperatures near 573K,Zircaloy,,,irradiation test,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk1,text,Many studies of the nodular corrosion behavior of Zircaloy have been performed in ex-reactor steam tests at near 500°C,Zircaloy,,,steam test,,,,,,,,,,,,,,,,,,500.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk1,text,"Cheng et al. [7,8] have demonstrated that the relative susceptibility of Zircaloy to in-reactor nodular corrosion can be properly ranked by using a 410/510°C two-step steam test",Zircaloy,,,two-step steam test,,,,,,,,,,,,,,,,,,410.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk1,text,"Cheng et al. [7,8] have demonstrated that the relative susceptibility of Zircaloy to in-reactor nodular corrosion can be properly ranked by using a 410/510°C two-step steam test",Zircaloy,,,two-step steam test,,,,,,,,,,,,,,,,,,510.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk2,text,Zircaloy with a stringer-like precipitate distribution had poor corrosion resistance in near 500°C steam,Zircaloy,stringer-like precipitate distribution,,corrosion test,,,,,,,,,,,,,,,,,,500.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk2,text,The nodular corrosion resistance of alpha-recrystallized Zircaloy in 500°C steam can be further improved by a heat treatment in the alpha-beta or beta phase field at temperatures above 825°C,Zircaloy,alpha-recrystallized,heat treatment in alpha-beta or beta phase field,corrosion test,,,,,,,,,,,,,,,,,,500.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk2,text,heat treatment in the alpha-beta or beta phase field at temperatures above 825°C,Zircaloy,,heat treatment,,,,,,,,,,,,,,,,,,,825.0,,,,,,,,,,,,,,,,825.0,°C,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk2,text,fine precipitates that provide good electronic conductivity in the oxide formed on heat-treated Zircaloy were found by Cheng et al. [4] to have substantially dissolved after receiving a fast fluence of less than 1×10²¹ n/cm² (E > 1 MeV),Zircaloy,heat-treated,,irradiation test,,,,,,,,,,,,,,,,,,,,,,,1e+21,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk2,text,Zircaloy tubes had an outer diameter of ±1.23 cm and a wall thickness of 0.076 cm,Zircaloy,tube,,dimensional measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,cm,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk2,text,The channel strips were 0.203 cm thick,Zircaloy,channel strip,,dimensional measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203,cm,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk2,text,zirconium liner in this experiment had a thickness of approximately 0.013 cm,zirconium,liner,,dimensional measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,cm,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk2,text,"Some samples were heat treated at various temperatures, ranging from ~600°C in the α phase up to 1050°C in the β phase",,,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,vacuum,,,,,,,,,600.0–1050.0,°C,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk3,p.3,"Visual examination of the samples after exposure to 510°C steam for 4 h and a cumulative time of 8, 12, and 16 h was performed.",Zircaloy-2,cladding,,ex-reactor corrosion test,,,,,,,,,,,,,,,,,,510.0,steam,,,,,12.0,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk3,p.3,"Visual examination of the samples after exposure to 510°C steam for 4 h and a cumulative time of 8, 12, and 16 h was performed.",Zircaloy-2,cladding,,ex-reactor corrosion test,,,,,,,,,,,,,,,,,,510.0,steam,,,,,16.0,,,,,,,,,,,,,,,,0.9,mm,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk3,p.4,"The number of small nodules that will grow to large size has been shown in Ref 7 to increase with increasing severity of the test parameters, such as temperature and pressure, but not with test time.",,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk3,p.5,The samples were heat treated at 800°C for 60 h to produce large grain sizes up to 500 μm.,sponge-grade zirconium,sheet,heat treatment,,,,,,,,,,,,,,,,,,,800.0,,,,,,60.0,,,,,,,,,,,,,,,,,,500.0,μm
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk3,p.5,"Before exposure to steam testing, the samples were chemically etched in a solution containing 2% concentrated HF, 45% HNO3, and the balance distilled water.",sponge-grade zirconium,etched,surface preparation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk4,Fig. 3d,at Step I the sample was covered by a uniform black oxide with several lighter spots being developed on the large grain near the bottom half of the photograph,,oxidized,Step I,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk4,Fig. 4a,Sample A in Fig. 4a had a weight gain of <100 mg/dm² in the two-step test and was highly resistant to nodular corrosion in reactor,Zircaloy-2,cladding,two-step test,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,mg/dm²,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk4,Fig. 5,the nodular corrosion susceptibility of Zircaloy decreases with increasing number density of precipitates,Zircaloy,alpha-annealed,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk4,Fig. 6,the nodular corrosion weight gain of Zircaloy-4 in the GE two-step test is not sensitive to heat treatment up to a temperature of ~780°C,Zircaloy-4,heat-treated,GE two-step test,corrosion test,,,,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk5,text,"Ni/Fe ratio in the Zr2(Ni,Fe) precipitates decreased by as much as 60%",Zircaloy-2,Sample A,annealing,composition analysis,,,,,,,,,,,,,,,,,,760.0,,,,,,,,,,,,,,,,,,,,,,-60,%,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk5,text,Zircaloy-2 Sample A heat treated at 870°C,Zircaloy-2,Sample A,heat treatment,microstructure analysis,,,,,,,,,,,,,,,,,,870.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk5,text,areas larger than 10 to 50 μm can be easily obtained,Zircaloy-2,Sample A,heat treatment,microstructure analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10–50,μm
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk5,text,excellent corrosion resistance of those precipitate-free grains and subgrains,Zircaloy-2,precipitate-free grains,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk5,text,Zr-liner was 0.12 mm thick metallurgically bonded onto the inner surface of a Zircaloy-2 fuel cladding of 0.68 mm wall thickness,Zircaloy-2,cladding,bonding,dimensional measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,mm,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk5,text,"Samples were heat treated in a vacuum furnace at 900°C for various lengths of time: 1, 4, 10, 20, 40, 60, and 120 min",Zircaloy-2,cladding,heat treatment,heat treatment,,,,,,,,,,,,,,,,,,900.0,,,,,,,vacuum,,,,,,,,,,,,,,,,,1–120,min
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk5,text,heat treated samples were subjected to nodular corrosion testing using the 410/510°C two-step test,Zircaloy-2,cladding,corrosion testing,corrosion test,,,,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk6,Fig. 9,The nodular corrosion resistance of the heat-treated liners showed a drastic improvement for the samples annealed for 4 to 10 min or longer,Zr-liner,heat-treated,annealed,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk6,Fig. 9,some improvements can already be seen on the sponge-grade liner annealed for only 1 min,sponge-grade Zr-liner,annealed,annealed,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,0.0167,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk6,text,the corrosion resistance of sponge-grade zirconium strip samples did not show any improvement by heat treatment at 900°C for up to 2 h,sponge-grade zirconium strip,heat-treated,heat treatment,corrosion test,,,,,,,,,,,,,,,,,,900.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk6,Fig. 10,Figure 10 shows the corrosion weight gain of both type zirconium liners and the spongegrade zirconium strip samples as a funiction of time at 900°C,"zirconium liners, sponge-grade zirconium strip",,,corrosion test,,,,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk6,Fig. 10,the nodular corrosion decreased to a minimum after annealing for 10 min,zirconium liners,annealed,annealed,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk6,text,Samples annealed for longer than 10 min showed a slow but steady increase in the corrosion weight gain or the black uniform oxide thickness with increasing annealing time,zirconium liners,annealed,annealed,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk6,Fig. 11,The microstructural change of the sponge grade Zr-liner in response to the 900°C heat treatments is shown in Fig. 11,sponge grade Zr-liner,heat-treated,heat treatment,microstructural analysis,,,,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP939-EB-Zirconium in the Nuclear Industry_7th Volume_033_chunk7,table,Sponge Zr Strip Location No. 2 Relative Mass Intensity (% of Zr) Fe 0.012 Cr 0.0038 Ni 0.0016 Sn 0.0081,Sponge Zr Strip,,,SIMS,,"{'value': 0.0081, 'unit': 'wt%'}",,"{'value': 0.012, 'unit': 'wt%'}","{'value': 0.0038, 'unit': 'wt%'}","{'value': 0.0016, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,wt%,,
